EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
17856,Watkins,Carlos,AZC,DT,94,29,305,75,7,Clemson
59958,Johnson,Jaquan,LVR,S,26,27,190,70,5,Miami
40385,Lance,Trey,SFN,QB,5,23,224,76,3,North Dakota State
33550,Prescott,Dak,DLC,QB,4,30,238,74,8,Mississippi State
12555,Peoples,Camerun,CAP,RB,32,23,225,74,0,Appalachian State
71420,Okereke,Bobby,NYG,LB,58,27,235,73,5,Stanford
46618,Vann,Josh,CAP,WR,87,23,192,71,0,South Carolina
48979,Proche II,James,BLR,WR,10,26,201,71,4,SMU
17587,Cooney,Nolan,AZC,P,16,26,202,75,1,Syracuse
89444,McCrary-Ball,Marcelino,SFN,LB,40,24,214,72,1,Indiana
51251,Hickman,Ronnie,CLB,S,33,21,209,73,0,Ohio State
89491,Hallett II,Erick,JKJ,CB,40,23,190,71,0,Pittsburgh
76627,Butker,Harrison,KCC,K,7,28,199,76,7,Georgia Tech
48369,Chase,Ja'Marr,CNB,WR,1,23,201,72,3,LSU
20373,Smith,Mazi,DLC,DT,58,22,337,75,0,Michigan
66478,McKeon,Sean,DLC,TE,84,25,238,77,4,Michigan
27079,Cobb,Randall,NYJ,WR,18,33,192,70,13,Kentucky
18492,Fisk,Tucker,ATF,TE,43,24,285,76,1,Stanford
76191,Bolton,Nick,KCC,LB,32,23,237,71,3,Missouri
18947,Jones,Jaylon,INC,CB,40,21,203,74,0,Texas A&M
81162,Lanen,Cole,JKJ,OT,70,25,312,76,2,Wisconsin
99760,Williams,Trent,SFN,OT,71,35,320,77,14,Oklahoma
49680,Sieg,Trent,DLC,LS,44,28,240,75,6,Colorado State
86627,Facyson,Brandon,LVR,CB,31,28,197,74,6,Virginia Tech
27430,Malone,DeAngelo,ATF,LB,51,24,240,76,2,Western Kentucky
57668,Jones,Travis,BLR,DT,98,23,327,76,2,UConn
81998,Munford Jr.,Thayer,LVR,OT,77,23,315,78,2,Ohio State
87743,Whiteheart,Blake,AZC,TE,47,23,247,76,0,Wake Forest
80383,Knox,Dawson,BFB,TE,88,26,254,76,5,Ole Miss
71140,Gervase,Jake,MNV,S,43,27,212,73,2,Iowa
86937,Marquez-Scantling,Marquez,KCC,WR,11,28,206,76,6,South Florida
75282,Deng,Kuony,PTS,LB,49,25,240,78,1,California
78713,Leavitt,Dallin,GBP,S,6,29,195,70,5,Utah State
69568,Claybrooks,Chris,JKJ,CB,6,26,180,69,4,Memphis
40732,Hall,Hassan,CLB,RB,30,22,196,70,0,Georgia Tech
12335,Adams,Tony,NYJ,S,22,24,205,72,2,Illinois
99860,Hufanga,Talanoa,SFN,S,29,23,200,72,3,USC
70601,Knight,Qwuantrezz,SFN,CB,43,25,199,72,0,UCLA
38703,Bozeman,Bradley,CAP,C,56,28,325,77,6,Alabama
27866,Ward,Jimmie,HST,S,1,32,195,71,10,Northern Illinois
47036,Thomas,Keir,LAR,LB,96,25,275,74,2,Florida State
22937,Harper,Devin,DLC,LB,50,25,234,72,2,Oklahoma State
34598,Hall,Logan,TBB,DE,90,23,283,78,2,Houston
89639,Trainer,Andrew,LAC,OT,62,25,320,79,2,William & Mary
12803,Edmunds,Tremaine,CHB,LB,49,25,250,77,6,Virginia Tech
40735,Stokes,Eric,GBP,CB,21,24,194,72,3,Georgia
30943,Carlson,Anders,GBP,K,17,25,219,77,0,Auburn
11091,Benton,Keeanu,PTS,DT,95,22,309,76,0,Wisconsin
55828,Sweat,Montez,WSC,DE,90,26,262,78,5,Mississippi State
74666,Shepley,Dakoda,INC,C,65,28,290,77,2,Brit Columbia
71256,Bush,Arquon,STS,CB,24,23,187,72,0,Cincinnati
58630,Teller,Wyatt,CLB,G,77,28,315,76,6,Virginia Tech
82323,Nelson,Quenton,INC,G,56,27,330,77,6,Notre Dame
58341,Settle,Tim,BFB,DT,99,26,313,75,6,Virginia Tech
24399,Jones,Deion,CAP,LB,53,28,222,73,8,LSU
77451,Snyder,Jack,MNV,G,68,26,310,77,1,San José State
54908,Harris,Josh,LAC,LS,47,34,224,73,12,Auburn
75704,Rypien,Brett,LAR,QB,11,27,202,74,4,Boise State
75476,Aumavae-Laulu,Malaesala,BLR,OT,71,24,330,78,0,Oregon
90237,McCloud III,Ray-Ray,SFN,WR,3,26,190,69,6,Clemson
31742,Evans,Darren,NYG,CB,35,25,174,75,1,LSU
56774,Torrence II,Rashad,LAR,S,33,21,193,71,0,Florida
60409,Evans,Zach,LAR,RB,21,22,202,71,0,Ole Miss
41225,Williams,Damien,LVR,RB,32,31,221,71,9,Oklahoma
99012,Ahmed,Salvon,MMD,RB,26,24,197,71,4,Washington
57518,Rourke,Nathan,JKJ,QB,18,25,210,73,0,Ohio
31582,Rush,Darius,INC,CB,30,23,198,74,0,South Carolina
78383,Smith,Andre,ATF,LB,59,26,240,72,5,North Carolina
29519,Brandel,Blake,MNV,OT,64,26,315,79,3,Oregon State
74893,Luketa,Jesse,AZC,LB,43,24,253,75,2,Penn State
87741,Jones,Braylon,AZC,C,63,25,301,75,1,Houston
39267,Davis,Demario,NOS,LB,56,34,248,74,12,Arkansas State
60789,Sudfeld,Nate,DTL,QB,10,29,230,78,7,Indiana
15034,Bobenmoyer,Jacob,LVR,LS,50,26,235,74,4,Northern Colorado
18235,Jordan,Cameron,NOS,DE,94,34,287,76,13,California
55279,Pryor,Kendric,JKJ,WR,14,25,189,71,2,Wisconsin
36576,Gaines II,Jon,AZC,G,59,24,303,76,0,UCLA
15315,Williams,Darryl,JKJ,C,60,26,304,74,1,Mississippi State
56961,Ramsey,Jalen,MMD,CB,5,28,208,73,8,Florida State
19687,Grant,Jaydon,LVR,S,40,25,190,72,0,Oregon State
93911,Tufele,Jay,CNB,DT,97,24,305,75,3,USC
59557,Hoffman,Brock,DLC,C,67,24,302,76,1,Virginia Tech
93557,Cannella,Sal,STS,TE,46,26,242,77,1,Auburn
66103,Hardy,Daniel,LAR,LB,44,24,240,75,2,Montana State
92876,Williams,Joejuan,MNV,CB,29,25,212,75,5,Vanderbilt
98122,Ridley,Calvin,JKJ,WR,0,28,190,73,5,Alabama
29218,Whittaker,Jace,WSC,CB,32,28,185,71,2,Arizona
79964,Taylor,Ja'Sir,LAC,CB,36,24,185,70,2,Wake Forest
19711,Jenkins,Elgton,GBP,G,74,27,311,77,5,Mississippi State
23364,Jackson,Deon,INC,RB,35,24,216,71,3,Duke
68512,Vaughn,Ke'Shawn,TBB,RB,21,26,214,70,4,Vanderbilt
47453,Fulton,Kristian,TNT,CB,26,24,197,71,4,LSU
80394,Gotel,Matt,STS,DT,77,24,341,73,0,West Florida
18636,Sharpe,David,BLR,OT,74,27,343,78,5,Florida
90573,McLaurin,Terry,WSC,WR,17,27,210,72,5,Ohio State
88347,Pollard,Tony,DLC,RB,20,26,209,72,5,Memphis
33699,Woolen,Riq,STS,CB,27,24,210,76,2,UTSA
45683,Pearson,Henry,GBP,FB,44,23,249,74,0,Appalachian State
30929,Beasley,Cole,NYG,WR,9,34,177,68,12,SMU
31661,Martin,Jartavius,WSC,S,20,23,195,72,0,Illinois
76401,Cook,Alex,NYG,S,23,24,196,73,0,Washington
35506,Clark,Damone,DLC,LB,33,23,240,75,2,LSU
